SLIDE_NO,SLIDE_NAME,DISTRICT,LONGITUDE,LATITUDE,INITIATION,TRIGGERING,ACTIVITY,MATERIAL_T,GEOLOGY
WB/DARJ/78B01/2015/63,,Darjeeling,88.259083000000004,27.037027999999999,0,,Active,Rock cum Debris,
WB/DARJ/78B01/2015/0153,,Darjeeling,88.259083000000004,27.037027999999999,0,Rainfall,Active,Rock cum Debris,
WB/DAR/78A08/2015/103,Jalapahar-Kotwali Cantonment,Darjeeling,88.259611000000007,27.024471999999999,2009,Rainfall,Active,Debris,Insitu soil
WB/DAR/78A08/2015/59,Alubari,Darjeeling,88.270960000000002,27.028630000000000,2007,Rainfall,Reactivated,Debris,Slopewash
WB/DAR/78A08/2015/104,Jalapaher Gandhi Road,Darjeeling,88.264619999999994,27.032301000000000,2009,Rainfall,Active,Debris,"Reddish brown coloured silty sand, gritty in nature"
WB/DAR/78A08/2015/1179,,Darjeeling,88.270222000000004,27.044388999999999,2015,Rainfall,Stabilized,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A08/2015/107,Lower Bhutia Busty,Darjeeling,88.273611000000002,27.047750000000001,2009,Rainfall,Suspended,Debris,Reddish brown coloured silty
WB/DAR/78A08/2015/78,Pokhridara,Darjeeling,88.275810000000007,27.037939999999999,2007,Rainfall,Active,Debris,Slopewash
WB/DAR/78A08/2015/105,"Pandam Tea Estate,near House of Bikash Rai, Kulungdara village",Darjeeling,88.279083000000000,27.041611000000000,2009,Rainfall,Active,Rock cum Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A08/2015/1512,"KAMSE VILLAGE,KALIMPONG",Darjeeling,88.278824999999998,27.041644000000002,2015,Rainfall,Active,Debris,Slopewash
WB/DAR/78A08/2015/106,"Pandam Tea Estate, Kulungdara village",Darjeeling,88.279278000000005,27.042999999999999,2009,Rainfall,Active,Debris,Slopewash
WB/DAR/78A08/2015/80,"Harsing Hatta, Lebong on Badamtam TE road",Darjeeling,88.278530000000003,27.049560000000000,2007,Rainfall,Active,Debris,Insitu soil
WB/DAR/78A08/2015/79,"Lower part of Pandim T.E., Darjeeling above Factory",Darjeeling,88.278199999999998,27.036970000000000,2007,Rainfall,Active,Debris,Insitu soil
WB/DAR/78A08/2015/60,"Alubari-Phulbari village, just below of Alubari road",Darjeeling,88.276640000000000,27.025053000000000,2007,Rainfall,Active,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A08/2015/1437,,Darjeeling,88.279625999999993,27.027303000000000,2013,Rainfall,Active,Debris,Compacted debris
WB/DAR/78A08/2015/1416,,Darjeeling,88.278191000000007,27.004843000000001,2010,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A08/2015/1432,,Darjeeling,88.271614999999997,27.021236999999999,2011,Rainfall,Active,Debris,Compacted debris
WB/DAR/78A08/2015/41,"Within Nimkidhara village, 4km. From Darjeeling Town",Darjeeling,88.262360000000001,27.024287000000001,2006,Rainfall,Active,Rock cum Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DARJ/78A08/2006/0339,,Darjeeling,88.262000000000000,27.024000000000001,0,Rainfall,Active,Rock cum Debris,Granite Gneiss of Central Crystalline Gneissic Complex
WB/DARJ/78A08/2009/0338,,Darjeeling,88.260000000000005,27.024000000000001,0,Cyclone Aila,Active,Debris,Dark grey coloured silty sand
WB/DAR/78A04/2015/1181,,Darjeeling,88.243250000000003,27.003944000000001,2015,Rainfall,Stabilized,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1180,,Darjeeling,88.241000000000000,27.004528000000001,2015,Rainfall,Stabilized,Rock,Slopewash
WB/DARJ/78A08/2009/0336,,Darjeeling,88.254999999999995,27.004999999999999,2009,Cyclone Aila,Active,Rock cum Debris,Quartz biotite gneiss
WB/DAR/78A08/2015/1182,,Darjeeling,88.252139000000000,27.004111000000002,2015,Rainfall,Active,Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A08/2015/100,Nehru Gram,Darjeeling,88.258317000000005,27.007688999999999,2009,Rainfall,Active,Rock cum Debris,QUARTZO-FELDSPATHIC GNEISS
WB/DARJ/78B01/2015/67,,Darjeeling,88.258722000000006,27.010138999999999,0,,Active,Rock cum Debris,
WB/DAR/78A08/2015/140,Alubari Mangar Gaon,Darjeeling,88.258722000000006,27.010138999999999,2015,Rainfall,Active,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DARJ/78A08/2015/0165,,Darjeeling,88.258722000000006,27.010138999999999,2015,Rainfall,Active,Rock cum Debris,
WB/DAR/78B05/2015/493,"NH55 Tiger Hill, Jor Bungalow",Darjeeling,88.263000000000005,26.998000000000001,2009,Rainfall,Active,Debris,Slopewash
WB/DAR/78B05/2015/492,Rangol Village,Darjeeling,88.260000000000005,26.997000000000000,2009,Rainfall,Active,Debris,Slopewash
WB/DAR/78B05/2015/476,Rongbul Kothidara Slide v 1,Darjeeling,88.263090000000005,26.989429999999999,2007,Rainfall,Active,Debris,Slopewash
WB/DAR/78B05/2015/477,Rongbul Ropeway Slide,Darjeeling,88.268872999999999,26.993672000000000,2007,Rainfall,Active,Debris,Slopewash
WB/DAR/78B05/2015/491,Rongbull sidaline,Darjeeling,88.277000000000001,26.984000000000002,2009,Rainfall,Active,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78B05/2015/689,SidhaLine NH55,Darjeeling,88.277749999999997,26.984573000000001,2015,Rainfall,Active,Debris,Slopewash
WB/DAR/78A04/2015/1200,,Darjeeling,88.227610999999996,27.011610999999998,2017,Rainfall,Active,Rock,Quartzite
WB/DAR/78A04/2015/1199,,Darjeeling,88.208444000000000,27.018222000000002,2016,Rainfall,Active,Rock,Quartzite
WB/DARJ/78A04/0256,,Darjeeling,88.203000000000003,27.020000000000000,0,Earthquake,Active,Rock,
WB/DAR/78A04/2015/20,"Darjeeling-Bijanbari Road, Kali Tea Garden 1",Darjeeling,88.203199999999995,27.019900000000000,2011,Rainfall,Reactivated,Rock,Slopewash
WB/DAR/78A04/2015/1247,,Darjeeling,88.205583000000004,27.023167000000001,2016,Rainfall,Active,Rock,"QUARTZITE,GNEISS"
WB/DARJ/78A04/0257,,Darjeeling,88.198999999999998,27.021000000000001,0,Earthquake,Suspended,Rock,
WB/DAR/78A04/2015/21,"Darjeeling-Bijanbari Road, Kali Tea Garden 2",Darjeeling,88.198899999999995,27.021100000000001,2011,Rainfall,Suspended,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A04/2015/1240,,Darjeeling,88.177778000000004,27.020389000000002,2014,Rainfall,Dormant,Rock,Compacted debris
WB/DAR/78A04/2015/1241,,Darjeeling,88.177417000000005,27.011222000000000,2014,Rainfall,Dormant,Rock,Compacted debris
WB/DAR/78B05/2015/527,Labda,Darjeeling,88.325027000000006,26.959378000000001,2011,Rainfall,Active,Debris,Slopewash
WB/DAR/78B05/2015/630,Pachim,Darjeeling,88.320421999999994,26.960844000000002,2015,Rainfall,Reactivated,Debris,Slopewash
WB/DAR/78B05/2015/632,Pachim,Darjeeling,88.313944000000006,26.961172000000001,2015,Rainfall,Reactivated,Debris,Slopewash
