timestamp,rainfall_mm,grid_lat,grid_lon
2024-05-23,7.1214237,27.25,88.5
2024-05-24,0.0,27.25,88.5
2024-05-25,0.0,27.25,88.5
2024-05-26,11.696636,27.25,88.5
2024-05-27,25.8021,27.25,88.5
2024-05-28,3.7684839,27.25,88.5
2024-05-29,17.794409,27.25,88.5
2024-05-30,8.40112,27.25,88.5
2024-05-31,43.93108,27.25,88.5
2024-06-01,1.7127682,27.25,88.5
2024-06-02,31.254059,27.25,88.5
2024-06-03,4.426571,27.25,88.5
2024-06-04,49.401028,27.25,88.5
2024-06-05,47.7073,27.25,88.5
2024-06-06,11.287591,27.25,88.5
2024-06-07,9.975595,27.25,88.5
2024-06-08,29.36419,27.25,88.5
2024-06-09,7.386338,27.25,88.5
2024-06-10,41.28063,27.25,88.5
2024-06-11,50.487694,27.25,88.5
2024-06-12,35.17111,27.25,88.5
2024-06-13,76.708015,27.25,88.5
2024-06-14,73.38251,27.25,88.5
2024-06-15,36.343586,27.25,88.5
2024-06-16,13.968812,27.25,88.5
2024-06-17,21.754639,27.25,88.5
2024-06-18,20.870733,27.25,88.5
2024-06-19,35.90907,27.25,88.5
2024-06-20,41.12863,27.25,88.5
2024-06-21,33.539097,27.25,88.5
2024-06-22,23.705385,27.25,88.5
2024-06-23,11.97395,27.25,88.5
2024-06-24,15.981476,27.25,88.5
2024-06-25,17.490614,27.25,88.5
2024-06-26,26.00567,27.25,88.5
2024-06-27,15.5005665,27.25,88.5
2024-06-28,48.38629,27.25,88.5
2024-06-29,49.57164,27.25,88.5
2024-06-30,52.484447,27.25,88.5
2024-07-01,17.596846,27.25,88.5
2024-07-02,47.407463,27.25,88.5
2024-07-03,40.12592,27.25,88.5
2024-07-04,23.074701,27.25,88.5
2024-07-05,15.257753,27.25,88.5
2024-07-06,29.508965,27.25,88.5
2024-07-07,15.43317,27.25,88.5
2024-07-08,9.356508,27.25,88.5
2024-07-09,21.53098,27.25,88.5
2024-07-10,14.379489,27.25,88.5
2024-07-11,9.347196,27.25,88.5
2024-07-12,54.669373,27.25,88.5
2024-07-13,36.568287,27.25,88.5
2024-07-14,30.39203,27.25,88.5
2024-07-15,44.896217,27.25,88.5
2024-07-16,40.04932,27.25,88.5
2024-07-17,5.6587296,27.25,88.5
2024-07-18,55.41287,27.25,88.5
2024-07-19,2.7378232,27.25,88.5
2024-07-20,37.159454,27.25,88.5
2024-07-21,11.475578,27.25,88.5
2024-07-22,39.03409,27.25,88.5
2024-07-23,26.474512,27.25,88.5
2024-07-24,16.441162,27.25,88.5
2024-07-25,32.419403,27.25,88.5
2024-07-26,14.303829,27.25,88.5
2024-07-27,31.642553,27.25,88.5
2024-07-28,18.914227,27.25,88.5
2024-07-29,5.9620957,27.25,88.5
2024-07-30,20.345537,27.25,88.5
2024-07-31,13.805814,27.25,88.5
2024-08-01,20.913952,27.25,88.5
2024-08-02,36.206146,27.25,88.5
2024-08-03,33.566414,27.25,88.5
2024-08-04,18.800476,27.25,88.5
2024-08-05,3.9963663,27.25,88.5
2024-08-06,44.02724,27.25,88.5
2024-08-07,32.255234,27.25,88.5
2024-08-08,21.611423,27.25,88.5
2024-08-09,18.922178,27.25,88.5
2024-08-10,5.715294,27.25,88.5
2024-08-11,12.576447,27.25,88.5
2024-08-12,12.094673,27.25,88.5
2024-08-13,6.7319784,27.25,88.5
2024-08-14,22.721478,27.25,88.5
2024-08-15,16.010992,27.25,88.5
2024-08-16,2.9758124,27.25,88.5
2024-08-17,0.64966017,27.25,88.5
2024-08-18,1.2914209,27.25,88.5
2024-08-19,19.848854,27.25,88.5
2024-08-20,5.8555684,27.25,88.5
2024-08-21,19.250648,27.25,88.5
2024-08-22,9.85583,27.25,88.5
2024-08-23,15.910024,27.25,88.5
2024-08-24,8.366265,27.25,88.5
2024-08-25,10.175791,27.25,88.5
2024-08-26,4.840682,27.25,88.5
2024-08-27,31.038973,27.25,88.5
2024-08-28,10.207618,27.25,88.5
2024-08-29,3.301718,27.25,88.5
2024-08-30,7.1247144,27.25,88.5
2024-08-31,0.95684135,27.25,88.5
2024-09-01,28.61301,27.25,88.5
2024-09-02,0.50926054,27.25,88.5
2024-09-03,1.4792576,27.25,88.5
2024-09-04,11.454034,27.25,88.5
2024-09-05,25.58134,27.25,88.5
2024-09-06,3.8748505,27.25,88.5
2024-09-07,0.17421643,27.25,88.5
2024-09-08,0.41011253,27.25,88.5
2024-09-09,5.5596375,27.25,88.5
2024-09-10,0.0,27.25,88.5
2024-09-11,14.017262,27.25,88.5
2024-09-12,31.099648,27.25,88.5
2024-09-13,0.5825154,27.25,88.5
2024-09-14,0.85993207,27.25,88.5
